DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-03,2024-11-03,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-04,2024-11-04,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-05,2024-11-05,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-06,2024-11-06,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-07,2024-11-07,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-23,2024-11-23,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-24,2024-11-24,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-25,2024-11-25,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-26,2024-11-26,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-27,2024-11-27,,,Unity,SSD_Unity
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-03,2024-11-03,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-04,2024-11-04,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-05,2024-11-05,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-06,2024-11-06,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-07,2024-11-07,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-23,2024-11-23,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-24,2024-11-24,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-25,2024-11-25,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-26,2024-11-26,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-27,2024-11-27,,,Upper Nile,SSD_Upper Nile
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-03,2024-11-03,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-04,2024-11-04,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-05,2024-11-05,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-06,2024-11-06,,,Warrap,SSD_Warrap
UNOSAT-SSD,Flood,SSD,South Sudan,2024-11-07,2024-11-07,,,Warrap,SSD_Warrap
