DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
IFRC-MDRSD034,Flood,SDN,Sudan,2024-09-05,2025-06-30,,25000,,
IFRC-MDRSS014,Flood,SSD,South Sudan,2024-07-25,2026-12-31,,300000,,
IFRC-MDRBI021,Flood,BDI,Burundi,2024-07-03,2026-07-31,,9000,,
IFRC-MDRUG050,Flood,UGA,Uganda,2024-05-22,2024-11-30,,19098,,
IFRC-MDRTZ035,Flood,TZA,United Republic of Tanzania,2023-11-22,2024-12-31,,200000,,
IFRC-MDRKE058,Flood,KEN,Kenya,2023-11-11,2024-12-31,,500000,,
IFRC-MDRDJ006,Flood,DJI,Djibouti,2022-11-23,2024-12-31,,2500,,
OCHA-SOM-2024-Deyr,Flood,SOM,Somalia,2024-10-15,2024-12-15,,,,
