DisNo.,Disaster Type,ISO,Country,Start Date,End Date,Total Deaths,No. Affected,Admin1,Admin1 Code
2023-0187-KEN,Flood,KEN,Kenya,2023-03-25,2023-03-30,36,139135,Homa Bay,KEN_Homa Bay
2023-0187-KEN,Flood,KEN,Kenya,2023-03-25,2023-03-30,36,139135,Migori,KEN_Migori
2025-0719-UGA,Flood,UGA,Uganda,2025-08-17,2025-08-19,5,15000,Bulambuli,UGA_Eastern Region
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,Kassala,SDN_Kassala
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,East Darfur,SDN_East Darfur
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,Central Darfur,SDN_Central Darfur
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,North Darfur,SDN_North Darfur
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,Khartoum,SDN_Khartoum
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,North Kordofan,SDN_North Kordofan
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,Northern,SDN_Northern
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,Red Sea,SDN_Red Sea
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,River Nile,SDN_River Nile
2024-0544-SDN,Flood,SDN,Sudan,2024-06-01,2024-08-27,132,317000,West Darfur,SDN_West Darfur
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Hiraan,SOM_Hiiraan
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Lower Juba,SOM_Lower Juba
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Lower Shabelle,SOM_Lower Shebelle
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Awdal,SOM_Awdal
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Bari,SOM_Bari
2024-0241-SOM,Flood,SOM,Somalia,2024-04-19,2024-05-02,9,226000,Mudug,SOM_Mudug
